# RaceRender Data
"Time", "Longitude", "Latitude", "Altitude", "X", "Y", "KPH", "Heading", "RPM", "Gear", "Throttle", "Accelerometer X Axis", "Gyroscope X Axis", "Vertical DOP", "Humidity", "Battery Voltage", "Gyroscope Y Axis", "Temperature 1", "Internal Temperature", "Vertical Acceleration", "Temperature 2", "Steering Angle", "Gyroscope Z Axis", "Accelerometer Z Axis", "Pressure", "GPS Lateral Acceleration", "GPS Distance", "Positional DOP", "Barometric Temperature", "GPS Longitudinal Acceleration", "Horizontal DOP", "Accelerometer Y Axis"
1,5.561977,50.988858,127.763000,,,16.770000,82.439560,3876.967742,,,-0.136920,0.930000,0.850000,68.220638,12.000000,-0.332672,31.730000,26.172064,0.149235,175.020000,0.000000,6.438000,1.093000,100580.000000,-0.048347,4.267335,1.040000,24.632064,0.078656,0.610000,0.001648
1.1,5.561984,50.988858,127.708000,,,16.990000,81.623480,3869.452363,,,-0.167000,1.377000,0.850000,68.210634,12.000000,-0.043488,31.753412,26.171063,0.250000,175.108964,0.000000,6.590280,0.900000,100580.000000,-0.075962,4.741000,1.040000,24.631063,0.111253,0.610000,-0.054000
1.2,5.561991,50.988859,127.704000,,,17.480000,80.342170,3867.833458,,,-0.071000,0.348000,0.850000,68.200000,12.000000,1.038000,31.780000,26.170000,0.225765,175.210000,0.000000,6.752000,1.066099,100580.000000,-0.079319,5.224209,1.040000,24.630000,0.075822,0.610000,0.112000
1.3,5.561999,50.988860,127.670000,,,17.850000,80.148370,3853.976744,,,-0.105357,0.785726,0.850000,68.181254,12.000000,-0.324398,31.798740,26.170937,-0.100765,175.725350,0.000000,5.861000,1.163000,100580.000000,-0.085422,5.716045,1.040000,24.630937,0.055981,0.610000,0.050783
1.4,5.562006,50.988861,127.757000,,,17.690000,78.193780,3836.562641,,,-0.126000,0.659285,0.850000,68.161248,12.000000,-1.143000,31.820000,26.171938,-0.281888,176.310000,0.000000,6.355736,0.969000,100580.000000,-0.086033,6.214381,1.040000,24.631938,0.100624,0.610000,0.014000
1.5,5.562014,50.988863,127.697000,,,18.430000,78.411800,3831.453113,,,-0.078000,0.874000,0.850000,68.141242,12.000000,0.467580,31.843437,26.172938,-0.073980,176.999040,0.000000,7.777718,1.138000,100580.000000,-0.131796,6.720441,1.040000,24.632938,0.128968,0.610000,0.132000
1.6,5.562021,50.988864,127.666000,,,18.530000,76.086200,3827.562641,,,-0.159000,0.785000,0.850000,68.121236,12.000000,0.073861,31.870000,26.173938,0.021684,177.780000,0.000000,10.079065,0.956000,100580.000000,-0.115197,7.240751,1.040000,24.633938,0.137472,0.610000,0.081000
1.7,5.562029,50.988865,127.647000,,,19.410000,74.757060,3821.276819,,,-0.067000,1.043888,0.850000,68.101230,12.000000,2.597000,31.893450,26.174938,0.043367,178.900910,0.000000,12.885919,1.143000,100580.000000,-0.051347,7.772216,1.040000,24.634938,0.061650,0.610000,0.205000
1.8,5.562037,50.988867,127.594000,,,19.490000,74.776510,3810.738185,,,-0.147000,1.636000,0.850000,68.081224,12.000000,0.864000,31.920000,26.175939,0.057398,180.170000,0.000000,14.534000,0.930000,100580.000000,-0.054713,8.311464,1.040000,24.635939,0.025510,0.610000,0.063000
1.9,5.562045,50.988868,127.595000,,,19.320000,73.931200,3800.000000,,,-0.086302,1.380694,0.850000,68.061218,12.000000,1.135000,31.924692,26.176939,0.029337,180.991161,0.000000,13.035953,1.067039,100580.000000,-0.021063,8.853592,1.040000,24.636939,0.102749,0.610000,0.161000
2,5.562053,50.988869,127.558000,,,19.940000,73.319860,3811.001500,,,-0.050000,1.228000,0.850000,68.041212,12.000000,0.987000,31.930000,26.177939,-0.022959,181.920000,0.000000,9.407740,1.149000,100580.000000,0.033283,9.405688,1.040000,24.637939,0.163690,0.610000,-0.006142
2.1,5.562061,50.988871,127.552000,,,20.320000,74.488450,3831.820705,,,-0.144000,1.742809,0.850000,68.021206,12.000000,-1.697000,31.930000,26.178940,-0.196429,182.272301,0.000000,4.457963,0.879000,100580.000000,0.041268,9.973684,1.040000,24.638940,0.189909,0.610000,-0.106000
2.2,5.562069,50.988872,127.536000,,,21.250000,74.097420,3856.183796,,,-0.036000,1.421000,0.850000,68.000000,12.000000,-0.698000,31.930000,26.180000,-0.308673,182.670000,0.000000,0.994423,1.154000,100580.000000,0.047314,10.558716,1.040000,24.640000,0.170068,0.610000,0.066000
2.3,5.562078,50.988874,127.477000,,,21.690000,75.315140,3870.464366,,,-0.105560,2.122000,0.850000,67.981194,12.000000,-0.196667,31.925300,26.181881,-0.179847,182.839200,0.000000,-1.438000,0.998587,100579.059718,0.039727,11.161375,1.040000,24.640000,0.126842,0.610000,-0.052440
2.4,5.562087,50.988876,127.392000,,,22.280000,75.051280,3878.375094,,,-0.190000,0.485000,0.850000,67.961188,12.000000,1.081000,31.920000,26.183881,0.099490,183.030000,0.000000,-1.314000,0.888687,100578.059418,0.029222,11.775993,1.040000,24.640000,0.106293,0.610000,-0.157000
2.5,5.562095,50.988877,127.282000,,,22.450000,75.828270,3896.750188,,,-0.122275,1.087628,0.850000,67.941182,12.000000,2.173000,31.896488,26.185882,0.253827,183.110000,0.000000,-1.392000,0.788000,100577.059118,-0.006613,12.401508,1.040000,24.640000,0.138889,0.610000,-0.031583
2.6,5.562105,50.988879,127.227000,,,23.020000,75.594500,3917.025526,,,-0.043000,1.446000,0.850000,67.921176,12.000000,-0.124922,31.870000,26.187882,0.121173,182.840000,0.000000,-1.696000,1.138561,100576.058818,-0.039763,13.041654,1.040000,24.640000,0.158022,0.610000,0.078939
2.7,5.562114,50.988880,127.186000,,,23.670000,75.066240,3934.946737,,,-0.059000,1.955000,0.850000,67.901170,12.000000,-1.490000,31.841756,26.189883,-0.061224,182.750000,0.000000,-0.988674,1.300000,100575.058518,0.020354,13.696005,1.040000,24.640000,0.150935,0.610000,0.149000
2.8,5.562124,50.988882,127.162000,,,24.030000,74.977310,3950.000000,,,-0.058000,1.000000,0.850000,67.881164,12.000000,0.427000,31.810000,26.191884,-0.118622,183.790000,0.000000,-1.034011,1.231000,100574.058217,0.036222,14.365913,1.040000,24.640000,0.143141,0.610000,0.087000
2.9,5.562134,50.988883,127.085000,,,24.790000,76.359060,3944.000000,,,-0.056376,1.521868,0.850000,67.861158,12.000000,-1.184456,31.767610,26.193884,-0.103316,184.623670,0.000000,-0.900292,1.361000,100573.057917,-0.008898,15.048481,1.040000,24.640000,0.114087,0.610000,0.195000
3,5.562144,50.988885,127.054000,,,24.930000,74.905560,3973.792198,,,-0.089356,2.162000,0.850000,67.841152,12.000000,-2.078000,31.720000,26.195885,0.054847,185.560000,0.000000,-0.367000,1.124872,100572.057617,0.002389,15.744090,1.040000,24.640000,0.153061,0.610000,0.082588
3.1,5.562154,50.988886,126.934000,,,25.500000,76.141830,3994.051013,,,-0.110000,1.001000,0.850000,67.821146,12.000000,1.723000,31.677589,26.197885,0.076531,186.822911,0.000000,-0.402820,0.985000,100571.057317,-0.014499,16.452669,1.040000,24.640000,0.196995,0.610000,0.018442
3.2,5.562165,50.988888,126.915000,,,26.380000,75.193690,4020.213803,,,-0.149606,2.467000,0.850000,67.800000,12.000000,-0.413209,31.630000,26.200000,-0.155612,188.240000,0.000000,-0.354867,1.061000,100570.000000,-0.006407,17.182362,1.040000,24.640000,0.181406,0.610000,-0.015000
3.3,5.562176,50.988890,126.857000,,,26.830000,75.418910,4059.338335,,,-0.173000,1.817587,0.850000,67.781134,12.000000,-1.675000,31.578109,26.200943,-0.118622,191.164762,0.000000,-0.176788,1.063000,100570.000000,0.044327,17.929453,1.040000,24.640000,0.199121,0.610000,-0.011000
3.4,5.562187,50.988891,126.762000,,,27.610000,75.711400,4093.558890,,,-0.172629,1.091000,0.850000,67.761128,12.000000,2.037000,31.520000,26.201944,0.155612,194.440000,0.000000,-0.562763,0.991000,100570.000000,0.022760,18.695470,1.040000,24.640000,0.197704,0.610000,-0.044971
3.5,5.562198,50.988893,126.672000,,,28.410000,76.213930,4121.931733,,,-0.173000,2.268000,0.850000,67.741122,12.000000,-0.122000,31.468080,26.202944,0.234694,197.781760,0.000000,-0.955000,1.061000,100570.000000,0.011054,19.480270,1.040000,24.640000,0.157313,0.610000,-0.054000
3.6,5.562210,50.988895,126.624000,,,28.820000,75.586510,4151.792948,,,-0.183000,0.184000,0.850000,67.721116,12.000000,-0.534000,31.410000,26.203944,0.110969,201.520000,0.000000,-0.566000,1.060000,100570.000000,0.060076,20.281658,1.040000,24.640000,0.158730,0.610000,-0.059880
3.7,5.562222,50.988896,126.594000,,,29.420000,76.647180,4194.710428,,,-0.181000,0.179931,0.850000,67.701110,12.000000,1.523000,31.358054,26.204944,0.008929,204.159800,0.000000,-1.595000,1.064000,100570.000000,0.027554,21.098323,1.040000,24.640000,0.195578,0.610000,-0.071000
3.8,5.562234,50.988898,126.563000,,,30.050000,76.813180,4250.752438,,,-0.150000,0.331940,0.850000,67.681104,12.000000,-0.336440,31.300000,26.205945,0.016582,207.110000,0.000000,-1.171640,1.092000,100570.000000,-0.031925,21.933055,1.040000,24.640000,0.214002,0.610000,-0.026000
3.9,5.562246,50.988900,126.526000,,,30.950000,76.187620,4319.911478,,,-0.161000,0.161000,0.850000,67.661098,12.000000,0.760920,31.252726,26.206945,0.007653,209.984237,0.000000,-0.158140,1.007000,100570.000000,-0.004329,22.790599,1.040000,24.640000,0.187075,0.610000,-0.045000
4,5.562259,50.988902,126.499000,,,31.540000,76.425350,4390.666166,,,-0.194000,0.751825,0.850000,67.641092,12.000000,0.660847,31.200000,26.207945,0.070153,213.190000,0.000000,0.741000,0.972000,100570.000000,-0.011472,23.665561,1.040000,24.640000,0.175737,0.610000,-0.047000
4.1,5.562271,50.988903,126.474000,,,32.100000,76.457220,4470.320329,,,-0.151376,0.791000,0.850000,67.621086,12.000000,-1.847000,31.157430,26.208946,0.165816,216.619250,0.000000,0.442695,1.048000,100570.000000,-0.043976,24.557958,1.040000,24.640000,0.188492,0.610000,-0.054000
4.2,5.562284,50.988905,126.425000,,,32.870000,75.871500,4539.066767,,,-0.135108,1.560000,0.850000,67.600000,12.000000,0.111000,31.110000,26.210000,0.237245,220.440000,0.000000,0.242000,0.972000,100570.000000,-0.023555,25.468620,1.040000,24.640000,0.187075,0.610000,-0.070000
4.3,5.562298,50.988908,126.487000,,,33.500000,75.718770,4609.643661,,,-0.114000,1.297740,0.850000,67.590537,12.000000,-1.165059,31.067409,26.210946,-0.119898,223.719530,0.000000,0.874000,1.158000,100570.000000,0.013612,26.397984,1.040000,24.640000,0.177863,0.610000,0.035000
4.4,5.562312,50.988909,126.524000,,,34.110000,76.027550,4689.045011,,,-0.140506,0.672000,0.850000,67.580534,12.000000,-1.911000,31.020000,26.211947,-0.220663,227.370000,0.000000,-0.143944,1.024000,100570.000000,0.021706,27.343896,1.040000,24.640000,0.154478,0.610000,-0.020536
4.5,5.562326,50.988912,126.513000,,,34.770000,75.888180,4770.049512,,,-0.157000,1.935298,0.850000,67.570531,12.000000,1.895000,30.982120,26.212947,-0.133929,230.675030,0.000000,-0.739000,1.071000,100570.000000,0.050107,28.306769,1.040000,24.640000,0.121882,0.610000,-0.053000
4.6,5.562339,50.988914,126.516000,,,35.020000,76.366120,4850.746437,,,-0.171000,2.673000,0.850000,67.560528,12.000000,-1.927000,30.940000,26.213947,0.017857,234.350000,0.000000,1.009000,1.015000,100570.000000,0.034851,29.281512,1.040000,24.640000,0.177154,0.610000,-0.004254
4.7,5.562353,50.988916,126.473000,,,35.580000,76.708930,4940.801200,,,-0.101000,1.320000,0.850000,67.550525,12.000000,1.260000,30.911576,26.214947,0.114796,237.206633,0.000000,0.534000,1.113000,100570.000000,-0.023556,30.273555,1.040000,24.640000,0.235969,0.610000,0.058000
4.8,5.562368,50.988918,126.469000,,,36.710000,76.350280,5025.211553,,,-0.203000,2.245000,0.850000,67.540522,12.000000,-0.418000,30.880000,26.215948,-0.033163,240.380000,0.000000,0.517568,1.008088,100570.000000,-0.018786,31.286753,1.040000,24.640000,0.178571,0.610000,-0.046280
4.9,5.562382,50.988921,126.486000,,,37.220000,76.205450,5125.436609,,,-0.182130,0.677000,0.850000,67.530519,12.000000,1.449000,30.861031,26.216948,-0.094388,242.846033,0.000000,0.946000,0.947000,100570.000000,0.036043,32.318663,1.040000,24.640000,0.128968,0.610000,-0.053881
5,5.562397,50.988923,126.459000,,,37.590000,76.438750,5220.441110,,,-0.102000,0.914337,0.850000,67.520516,12.000000,0.126000,30.840000,26.217948,0.045918,245.580000,0.000000,0.631054,1.170000,100570.000000,0.046817,33.364010,1.040000,24.640000,0.196995,0.610000,0.017491
5.1,5.562412,50.988925,126.436000,,,38.160000,76.893130,5320.716216,,,-0.159573,1.200000,0.850000,67.510513,12.000000,1.358000,30.830510,26.218949,0.035714,248.066380,0.000000,0.292279,1.142163,100570.000000,-0.017054,34.426988,1.040000,24.640000,0.260771,0.610000,0.040999
5.2,5.562428,50.988927,126.438000,,,39.430000,76.753340,5409.370593,,,-0.138568,0.053000,0.850000,67.500000,12.000000,0.924697,30.820000,26.220000,-0.072704,250.820000,0.000000,0.034181,1.045000,100570.000000,-0.033415,35.517221,1.040000,24.640000,0.207625,0.610000,0.023000
5.3,5.562443,50.988930,126.433000,,,40.000000,76.238970,5489.984246,,,-0.191000,0.766759,0.850000,67.471519,12.000000,0.441887,30.801011,26.220949,-0.079082,253.739635,0.000000,-0.088000,1.254000,100570.000000,0.039272,36.626974,1.040000,24.641899,0.136054,0.610000,0.076000
5.4,5.562459,50.988932,126.398000,,,40.520000,76.722720,5570.945946,,,-0.121000,-0.218000,0.850000,67.441507,12.000000,-0.667000,30.780000,26.221950,-0.091837,256.970000,0.000000,0.406000,0.928000,100570.000000,0.039985,37.750087,1.040000,24.643900,0.124008,0.610000,-0.008233
5.5,5.562475,50.988934,126.392000,,,40.830000,77.052850,5653.378095,,,-0.219000,0.352000,0.850000,67.411495,12.000000,-1.276267,30.780000,26.222950,-0.058673,258.543037,0.000000,-0.369000,0.760000,100570.000000,0.006402,38.886257,1.040000,24.645900,0.158022,0.610000,-0.093000
5.6,5.562491,50.988937,126.334000,,,41.440000,76.706840,5738.709677,,,-0.094150,1.004231,0.850000,67.381483,12.000000,-0.597310,30.780000,26.223951,0.049745,260.280000,0.000000,0.253348,1.181448,100570.000000,0.017047,40.037383,1.040000,24.647901,0.196287,0.610000,0.056566
5.7,5.562508,50.988939,126.303000,,,42.140000,77.193400,5844.098275,,,-0.022000,1.935638,0.850000,67.351471,12.000000,1.941000,30.784755,26.224951,0.071429,261.064575,0.000000,0.826756,1.425000,100570.000000,0.001714,41.206537,1.040000,24.649902,0.198413,0.610000,0.143000
5.8,5.562525,50.988942,126.272000,,,42.900000,76.895720,5935.342836,,,-0.160230,0.971894,0.850000,67.321459,12.000000,-1.349000,30.790000,26.225951,0.003827,261.930000,0.000000,1.315000,1.310260,100570.000000,-0.036280,42.397108,1.040000,24.651903,0.148810,0.610000,-0.097532
5.9,5.562542,50.988944,126.251000,,,43.480000,77.040180,6036.779445,,,-0.195000,2.519259,0.850000,67.291447,12.000000,2.447000,30.794757,26.226952,-0.054847,263.675958,0.000000,0.318000,1.270000,100570.000000,-0.095443,43.600996,1.040000,24.653904,0.162273,0.610000,-0.170000
6,5.562559,50.988947,126.229000,,,43.660000,76.372230,6104.043511,,,0.011000,4.718000,0.850000,67.261435,12.000000,-6.591000,30.800000,26.227952,-0.056122,265.600000,0.000000,2.485960,1.494000,100570.000000,-0.130273,44.822579,1.040000,24.655904,0.231009,0.610000,0.131000
6.1,5.562577,50.988950,126.183000,,,45.010000,75.793970,6181.866467,,,-0.112760,3.276037,0.851453,67.231423,12.000000,3.560269,30.819050,26.228953,-0.048469,267.571626,0.000000,3.519165,0.986000,100570.000000,-0.060728,46.063442,1.040000,24.657905,0.160147,0.610000,0.080000
6.2,5.562594,50.988953,126.159000,,,45.390000,75.240840,6267.756189,,,-0.184000,2.742556,0.852454,67.200000,12.000000,5.342000,30.840000,26.230000,0.036990,269.740000,0.000000,5.505000,1.427000,100570.000000,0.012770,47.321833,1.040000,24.660000,0.124008,0.610000,0.231000
6.3,5.562612,50.988956,126.098000,,,45.540000,75.834100,6336.581395,,,-0.113801,1.917444,0.853454,67.180934,12.000000,3.939000,30.854295,26.232860,0.154337,271.531640,0.000000,3.867111,0.881000,100569.046714,-0.015547,48.592333,1.040000,24.657140,0.190618,0.610000,0.009000
6.4,5.562630,50.988959,126.068000,,,46.610000,75.427570,6421.790698,,,-0.120000,4.737000,0.854454,67.160928,12.000000,-0.072177,30.870000,26.235861,0.043367,273.500000,0.000000,1.929000,1.086000,100568.046414,-0.054283,49.882348,1.040000,24.654139,0.189201,0.610000,0.042000
6.5,5.562648,50.988962,126.063000,,,47.010000,75.381960,6495.813953,,,-0.166907,1.739405,0.855455,67.140922,12.000000,-2.583100,30.893837,26.238862,-0.141582,274.229410,0.000000,2.561000,1.021927,100567.046114,-0.075087,51.190680,1.040000,24.651138,0.206916,0.610000,0.042000
6.6,5.562667,50.988965,126.048000,,,47.810000,74.942220,6589.651163,,,-0.147092,-4.684000,0.856455,67.120916,12.000000,-5.274000,30.920000,26.241863,-0.095663,275.030000,0.000000,-1.592000,1.037156,100566.045814,-0.070667,52.518769,1.040000,24.648137,0.215420,0.610000,-0.101000
6.7,5.562686,50.988968,125.991000,,,48.730000,74.589330,6692.277569,,,-0.252000,3.091000,0.857455,67.100910,12.000000,5.018000,30.934310,26.244863,0.071429,277.477010,0.000000,2.128600,0.925924,100565.045514,-0.015882,53.866984,1.040000,24.645137,0.179280,0.610000,0.048228
6.8,5.562705,50.988972,125.954000,,,49.130000,74.547340,6805.096774,,,-0.181000,2.049173,0.858456,67.080904,12.000000,7.603000,30.950000,26.247864,0.210459,280.160000,0.000000,4.258000,1.013000,100564.045214,0.008955,55.234425,1.040000,24.642136,0.199830,0.610000,0.093000
6.9,5.562724,50.988975,125.918000,,,49.940000,74.719610,6897.618905,,,-0.274000,1.454000,0.859456,67.060898,12.000000,1.257850,30.969090,26.250865,0.193878,283.367044,0.000000,2.168686,0.736000,100563.044913,-0.077056,56.620546,1.040000,24.639135,0.199121,0.610000,-0.117000
7,5.562744,50.988979,125.917000,,,50.740000,74.564160,7006.527382,,,-0.166050,4.274000,0.860000,67.040892,12.000000,-6.828000,30.990000,26.253866,-0.088010,286.880000,0.000000,1.375000,0.953740,100562.044613,-0.054525,58.025419,1.040000,24.636134,0.145266,0.610000,0.028160
7.1,5.562764,50.988982,125.953000,,,51.140000,73.475140,7094.261815,,,-0.104557,1.982000,0.860000,67.020886,12.000000,1.987000,31.009110,26.256867,-0.234694,288.924722,0.000000,1.090367,1.215000,100561.044313,0.146074,59.446562,1.040000,24.633133,0.102749,0.610000,0.123000
7.2,5.562784,50.988986,125.924000,,,51.590000,74.936820,7153.729182,,,-0.045000,1.863753,0.860000,67.000000,12.000000,0.003972,31.030000,26.260000,-0.008929,291.160000,0.000000,-0.884533,1.066558,100560.000000,0.164656,60.876745,1.040000,24.630000,0.046769,0.610000,0.015969
7.3,5.562804,50.988989,125.875000,,,51.740000,75.395120,7218.237809,,,-0.048000,1.106000,0.860000,66.980874,12.000000,-1.785880,31.030000,26.260956,0.117347,291.450000,0.000000,-1.780429,0.982000,100560.000000,0.084246,62.311796,1.040000,24.630956,0.034014,0.610000,-0.040032
7.4,5.562824,50.988992,125.860000,,,51.650000,75.595540,7228.532633,,,-0.005000,1.006000,0.860000,66.960868,12.000000,-0.549241,31.030000,26.261957,-0.002551,291.370000,0.000000,-2.989694,0.914974,100560.000000,0.117176,63.751447,1.040000,24.631957,0.074405,0.610000,-0.104587
7.5,5.562844,50.988995,125.861000,,,52.160000,76.054090,7252.000000,,,-0.056000,2.650779,0.860000,66.940862,12.000000,-0.659000,31.053912,26.262957,0.021684,290.308309,0.000000,-3.391779,0.851000,100560.000000,0.152249,65.196632,1.040000,24.632957,0.040391,0.610000,-0.139000
7.6,5.562865,50.988998,125.824000,,,52.280000,76.759410,7247.000000,,,0.005226,2.843456,0.860000,66.920856,12.000000,-0.422000,31.080000,26.263957,0.131378,289.150000,0.000000,-4.295000,0.967000,100560.000000,0.141530,66.646607,1.040000,24.633957,-0.000709,0.610000,-0.048000
7.7,5.562885,50.989001,125.817000,,,52.100000,77.247560,7273.852213,,,0.043973,2.884000,0.860000,66.900850,12.000000,3.610000,31.084787,26.264957,0.016582,286.986098,0.000000,-3.784000,0.887989,100560.000000,0.188034,68.096955,1.040000,24.634957,0.009212,0.610000,-0.183000
7.8,5.562906,50.989004,125.835000,,,52.330000,77.758270,7296.107277,,,0.105000,1.374390,0.860000,66.880844,12.000000,-1.984095,31.090000,26.265958,-0.165816,284.630000,0.000000,-7.342096,0.918000,100560.000000,0.308437,69.547445,1.040000,24.635958,0.024093,0.610000,-0.169576
7.9,5.562927,50.989006,125.829000,,,52.180000,79.158430,7314.000000,,,0.113000,0.853000,0.860000,66.860838,12.000000,-3.579000,31.094790,26.266958,-0.042092,282.531980,0.000000,-6.688000,1.031000,100560.000000,0.363843,71.001400,1.040000,24.636958,0.047477,0.610000,-0.175000
8,5.562948,50.989008,125.803000,,,52.590000,80.621300,7299.000000,,,0.077873,2.298079,0.860000,66.840832,12.000000,0.567000,31.100000,26.267958,0.247449,280.250000,0.000000,-8.809651,0.927151,100560.000000,0.328063,72.458564,1.040000,24.637958,0.009212,0.610000,-0.177000
8.1,5.562969,50.989010,125.754000,,,52.590000,81.911710,7342.725431,,,0.035000,3.314183,0.864378,66.820826,12.000000,-2.867000,31.109585,26.268959,0.165816,279.392161,0.000000,-9.901496,0.908000,100560.000000,0.353117,73.917167,1.047297,24.638959,-0.000709,0.611459,-0.281811
8.2,5.562990,50.989012,125.825000,,,52.310000,82.911910,7408.198049,,,0.106605,4.185707,0.867379,66.800000,12.000000,0.076000,31.120000,26.270000,-0.025510,278.460000,0.000000,-13.728166,0.925279,100560.000000,0.408263,75.377282,1.052299,24.640000,0.038265,0.612460,-0.402000
8.3,5.563012,50.989013,125.819000,,,52.860000,85.066980,7476.370593,,,0.147000,5.210000,0.870380,66.771221,12.000000,-0.524660,31.134392,26.270000,-0.261480,279.750500,0.000000,-17.696209,0.953000,100560.000000,0.485588,76.844499,1.057300,24.641919,0.131803,0.613460,-0.288000
8.4,5.563034,50.989014,125.837000,,,53.440000,86.251350,7491.000000,,,0.084000,-3.790000,0.873381,66.741212,12.000000,-0.384000,31.150000,26.270000,-0.279337,281.150000,0.000000,-19.985000,0.713000,100560.000000,0.675299,78.325864,1.062302,24.643919,0.063067,0.614460,-0.538000
8.5,5.563056,50.989014,125.793000,,,53.590000,89.110830,7582.575394,,,0.186160,1.831120,0.876382,66.711203,12.000000,10.795000,31.190000,26.270000,-0.122449,283.329200,0.000000,-15.135000,0.982640,100560.000000,0.766140,79.813078,1.067303,24.645920,-0.031179,0.615461,-0.555000
8.6,5.563077,50.989013,125.735000,,,53.600000,92.407630,7686.000000,,,0.233280,4.993000,0.879383,66.681194,12.000000,-1.102880,31.180000,26.270000,0.086735,285.690000,0.000000,-30.443000,1.173000,100560.000000,0.661142,81.297009,1.072305,24.647920,-0.116922,0.616461,-0.482000
8.7,5.563098,50.989012,125.662000,,,52.990000,94.512940,7511.274569,,,0.361198,-0.058164,0.882384,66.651185,12.000000,-6.478000,31.160790,26.270000,0.044643,285.810000,0.000000,-19.014208,1.106396,100560.000000,0.643502,82.770959,1.077306,24.649921,-0.102041,0.617461,-0.714000
8.8,5.563118,50.989010,125.642000,,,52.550000,97.031490,7417.000000,,,0.427000,-2.285000,0.885385,66.621176,12.000000,5.482000,31.140000,26.270000,-0.056122,282.110000,0.000000,-14.608000,0.889000,100560.000000,0.725170,84.235090,1.082308,24.651922,-0.065901,0.618462,-0.436000
8.9,5.563139,50.989008,125.590000,,,52.600000,99.751570,7493.000000,,,0.327000,-0.562000,0.888386,66.591167,12.000000,-3.640000,31.140000,26.270000,0.033163,280.196653,0.000000,-28.867000,1.113874,100560.000000,0.742838,85.691886,1.087309,24.653922,-0.043934,0.619462,-0.619000
