# RaceRender Data
"Time", "Longitude", "Latitude", "Altitude", "X", "Y", "KPH", "Heading", "RPM", "Gear", "Throttle", "DOP Positional", "Température 1", "Axe Z Gyroscope", "Axe Accéléromètre Y", "GPS Lateral Acceleration", "Vertical Acceleration", "Humidity", "Pression", "Voltage Batterie", "Température Barométrique", "Distance GPS", "Axe Accéléromètre Z", "Axe X Gyroscope", "DOP Vertical", "Temperature Interne", "Angle du Volant", "Température 2", "DOP Horizontal", "Axe Y Gyroscope", "GPS Longitudinal Acceleration", "Axe Accéléromètre X"
1,4.499732,50.093803,215.753000,,,20.220000,77.203790,5458.000000,,,1.032130,38.680000,-9.040347,0.195000,0.167851,-0.405612,48.865080,99886.507952,12.030000,33.116984,4.607700,0.895600,5.603000,0.860108,38.840000,0.000000,256.060000,0.572058,3.354296,0.240221,-0.094000
1.1,4.499740,50.093804,215.661000,,,21.280000,78.406550,5443.000000,,,1.014124,38.708989,-5.928000,0.110000,0.138509,-0.355867,48.855077,99885.507652,12.030000,33.118985,5.183409,1.163000,-0.048000,0.845104,38.840000,0.000000,259.382196,0.564055,6.574000,0.250850,-0.108000
1.2,4.499748,50.093805,215.567000,,,21.860000,79.229630,5453.816204,,,0.996119,38.730000,-9.893414,-0.091120,0.086681,-0.080357,48.845074,99884.507352,12.030000,33.120985,5.780775,1.240000,0.730000,0.830099,38.840000,0.000000,261.790000,0.556053,0.069970,0.217545,0.036000
1.3,4.499757,50.093805,215.427000,,,22.710000,79.640620,5461.717929,,,0.978113,38.753200,-9.437980,-0.092146,0.044908,0.070153,48.835071,99883.507052,12.030000,33.122986,6.399851,0.869942,-4.717000,0.815095,38.840000,0.000000,265.188800,0.548050,-1.135000,0.161565,-0.333000
1.4,4.499757,50.093805,215.427000,,,22.710000,79.640620,5464.000000,,,0.960000,38.770000,-8.714000,-0.154000,-0.001216,-0.096939,48.825068,99882.506752,12.030000,33.124986,7.030896,0.681000,-0.405639,0.800000,38.840000,0.000000,267.650000,0.540000,4.730000,0.150227,-0.309000
1.5,4.499774,50.093807,215.202000,,,23.980000,79.186340,5465.481620,,,0.958011,38.799015,-9.713000,0.001000,-0.026232,0.062500,48.815065,99881.506452,12.030000,33.126987,7.679442,0.897000,0.977000,0.797017,38.840000,0.000000,270.795173,0.538011,-1.652143,0.179989,-0.259000
1.6,4.499774,50.093807,215.202000,,,23.980000,79.186340,5469.000000,,,0.956010,38.820000,-4.798365,0.144136,0.078264,0.029337,48.805062,99880.506152,12.030000,33.128988,8.348134,1.122307,4.334000,0.794016,38.840000,0.000000,273.070000,0.536010,-4.901000,0.240930,-0.072128
1.7,4.499794,50.093809,215.111000,,,26.110000,82.279510,5468.000000,,,0.954010,38.831610,-4.924788,0.071328,0.164979,-0.338010,48.800000,99880.000000,12.030000,33.130000,9.043571,1.237000,1.639126,0.791014,38.840000,0.000000,275.595175,0.534010,5.029000,0.305414,0.023000
1.8,4.499803,50.093810,214.866000,,,26.160000,81.454480,5473.000000,,,0.952009,38.840000,-5.513000,0.135000,0.046550,0.008929,48.770108,99880.000000,12.030000,33.131495,9.764206,1.049000,3.239000,0.788013,38.841495,0.000000,277.420000,0.532009,-2.766000,0.158022,-0.095000
1.9,4.499803,50.093810,214.866000,,,26.160000,81.454480,5463.061515,,,0.950008,38.840000,-7.653000,0.172000,0.032838,0.357143,48.750100,99880.000000,12.030000,33.132495,10.492489,1.272000,-0.753000,0.785012,38.842495,0.000000,279.319185,0.530008,-2.097000,0.068736,-0.036000
2,4.499814,50.093811,214.691000,,,27.080000,83.294460,5426.526632,,,0.948007,38.840000,-5.629000,-0.084217,0.193276,0.437500,48.730092,99880.000000,12.030000,33.133495,11.235948,0.381000,1.059420,0.782011,38.843495,0.000000,280.690000,0.528007,8.958000,0.217545,-0.157471
2.1,4.499825,50.093811,214.740000,,,28.310000,85.447870,5372.000000,,,0.946006,38.845813,-13.316000,-0.214000,0.209143,0.383929,48.710084,99880.000000,12.030000,33.134496,12.002500,0.696000,-1.510000,0.779010,38.844496,0.000000,281.916523,0.526006,1.949191,0.239512,-0.175159
2.2,4.499825,50.093811,214.740000,,,28.310000,85.447870,5404.960990,,,0.944006,38.850000,-9.790160,-0.100368,0.171770,-0.315051,48.690076,99880.000000,12.030000,33.135496,12.790560,0.865768,-1.898000,0.776008,38.845496,0.000000,282.800000,0.524006,-1.601000,0.217545,0.022000
2.3,4.499848,50.093812,214.691000,,,30.150000,88.200360,5429.194299,,,0.942005,38.838370,-7.870608,-0.042424,0.196526,-0.667092,48.670068,99880.000000,12.030000,33.136497,13.606168,0.727000,0.909392,0.773007,38.846497,0.000000,283.707140,0.522005,2.772416,0.341553,-0.288000
2.4,4.499872,50.093812,214.465000,,,31.290000,88.133760,5442.226557,,,0.940000,38.830000,-5.843296,-0.115000,0.082344,0.106512,48.650060,99880.000000,12.030000,33.137497,14.457522,0.878841,0.562508,0.770000,38.847497,0.000000,284.360000,0.520000,2.350000,0.360686,-0.278000
2.5,4.499885,50.093813,214.443000,,,32.260000,87.740170,5458.910045,,,0.940000,38.795093,-5.088000,0.000000,0.037079,0.751920,48.630052,99880.000000,12.030000,33.138497,15.339178,0.752000,6.565000,0.770000,38.848497,0.000000,285.418859,0.520000,9.084000,0.343346,-0.207000
2.6,4.499898,50.093812,214.449000,,,33.900000,89.935470,5479.447447,,,0.940000,38.770000,-5.881000,-0.025000,0.145472,0.426008,48.610044,99880.000000,12.030000,33.139498,16.260235,1.191524,3.426000,0.770000,38.849498,0.000000,286.180000,0.520000,-10.548000,0.443970,-0.318000
2.7,4.499912,50.093813,214.470000,,,34.680000,89.083440,5490.000000,,,0.940000,38.729240,-0.636693,0.063460,0.067016,-0.040829,48.600000,99880.000000,12.030000,33.140000,17.210366,1.294000,8.528000,0.770000,38.850000,0.000000,287.594967,0.520000,3.165000,0.414874,-0.220894
2.8,4.499926,50.093813,214.502000,,,35.790000,89.892750,5494.234059,,,0.940000,38.700000,0.373000,0.108000,-0.072004,-0.095019,48.570031,99880.000000,12.030000,33.141498,18.187979,1.097000,0.993683,0.770000,38.850000,0.000000,288.610000,0.520000,0.792000,0.301495,-0.120000
2.9,4.499941,50.093813,214.507000,,,36.350000,88.977010,5499.743243,,,0.940000,38.653400,-0.369000,0.198000,-0.088593,0.009573,48.550025,99880.000000,12.030000,33.142499,19.190714,0.937879,-1.102000,0.770000,38.850000,0.000000,290.095375,0.520000,7.074000,0.267149,-0.019000
3,4.499956,50.093814,214.502000,,,37.720000,88.815360,5512.603901,,,0.940000,38.620000,1.503436,-0.014000,-0.070141,0.091837,48.530019,99880.000000,12.030000,33.143499,20.219189,0.858000,-3.073000,0.770000,38.850000,0.000000,291.160000,0.520000,-4.459000,0.215420,-0.356000
3.1,4.499971,50.093814,214.526000,,,38.190000,88.116200,5522.000000,,,0.940000,38.561721,2.946582,-0.008000,-0.125105,0.062500,48.510013,99880.000000,12.030000,33.144499,21.270948,0.685000,0.223700,0.770000,38.850000,0.000000,292.302271,0.520000,3.513000,0.196287,-0.314000
3.2,4.499986,50.093814,214.525000,,,38.920000,88.180560,5512.000000,,,0.940000,38.520000,4.274000,0.249000,-0.187791,-0.132653,48.490007,99880.000000,12.030000,33.145500,22.344069,1.251000,2.729000,0.770000,38.850000,0.000000,293.120000,0.520000,-2.737826,0.262188,-0.024000
3.3,4.500002,50.093815,214.594000,,,39.760000,86.140050,5557.121530,,,0.940000,38.455838,3.968000,0.266000,-0.081308,-0.154337,48.470001,99880.000000,12.030000,33.146500,23.438118,1.090954,4.400442,0.770000,38.850000,0.000000,294.070765,0.520000,9.957000,0.302579,-0.023000
3.4,4.500018,50.093816,214.548000,,,41.050000,86.296050,5684.000000,,,0.940000,38.410000,9.933000,0.089000,0.018704,-0.008929,48.449995,99880.000000,12.030000,33.147500,24.560106,0.840000,6.600000,0.770000,38.850000,0.000000,294.750000,0.520000,-12.640000,0.257228,-0.389000
3.5,4.500034,50.093817,214.558000,,,41.900000,86.363830,5678.000000,,,0.948010,38.350000,11.004000,0.244000,0.057876,-0.022959,48.429989,99880.000000,12.030000,33.148501,25.710180,1.144000,3.774000,0.778010,38.850000,0.000000,296.350000,0.524005,15.866000,0.214002,-0.151000
3.6,4.500051,50.093818,214.554000,,,42.540000,86.437740,5886.372372,,,0.956013,38.320810,7.611404,0.197625,0.098154,0.045918,48.400000,99880.000000,12.030000,33.150000,26.883644,1.127996,-4.523304,0.786013,38.850000,0.000000,297.646870,0.528006,4.278000,0.171485,-0.051000
3.7,4.500068,50.093818,214.532000,,,43.430000,87.324320,5918.222056,,,0.964015,38.280000,-0.918708,0.056596,0.011302,0.112245,48.389977,99879.498850,12.030000,33.151503,28.075571,0.990000,-8.432000,0.794015,38.850000,0.000000,299.460000,0.532008,0.183000,0.216837,-0.089000
3.8,4.500068,50.093818,214.532000,,,43.430000,87.324320,6014.759190,,,0.972018,38.246623,-4.290000,0.022743,-0.073065,-0.049745,48.369971,99878.498550,12.030000,33.154504,29.284013,0.975294,-4.925718,0.802018,38.850000,0.000000,300.865993,0.536009,3.714677,0.372024,-0.087088
3.9,4.500103,50.093820,214.570000,,,45.600000,86.648150,6139.262566,,,0.980020,38.200000,1.483000,0.059260,-0.070030,-0.022959,48.349965,99877.498249,12.030000,33.157505,30.525449,0.914000,-1.966000,0.810020,38.850000,0.000000,302.830000,0.540010,0.445174,0.354308,-0.276000
4,4.500121,50.093821,214.534000,,,46.510000,86.672750,6260.942234,,,0.988022,38.179115,1.453000,0.028040,-0.060908,0.137755,48.329959,99876.497949,12.030000,33.160506,31.800493,0.958176,0.115488,0.818022,38.850000,0.000000,304.200085,0.544011,0.494000,0.240221,-0.238000
4.1,4.500140,50.093822,214.545000,,,47.520000,86.069530,6394.540134,,,0.996025,38.150000,2.133821,0.048000,-0.055250,0.160714,48.309953,99875.497649,12.030000,33.163507,33.105304,1.031000,1.201083,0.826025,38.850000,0.000000,306.110000,0.548012,-1.699000,0.208333,-0.259433
4.2,4.500159,50.093823,214.581000,,,47.980000,86.202710,6539.163541,,,1.004027,38.129100,2.912000,0.100000,-0.023586,-0.039541,48.289947,99874.497349,12.030000,33.166508,34.434122,1.068000,0.945121,0.834027,38.850000,0.000000,307.710940,0.552014,-0.217803,0.381236,-0.302000
4.3,4.500179,50.093824,214.583000,,,49.510000,86.021620,6665.884471,,,1.012030,38.100000,0.772000,0.014000,-0.014453,0.093112,48.269941,99873.497049,12.030000,33.169509,35.792648,0.993000,0.997000,0.842030,38.850000,0.000000,309.940000,0.556015,-2.438496,0.439342,-0.243809
4.4,4.500199,50.093825,214.598000,,,51.370000,85.863950,6806.543886,,,1.020000,38.080000,1.533542,0.042839,-0.001498,0.112245,48.249935,99872.496749,12.030000,33.172510,37.189592,1.018150,0.511000,0.850000,38.850000,0.000000,311.416278,0.560000,4.589000,0.368481,-0.291000
4.5,4.500220,50.093826,214.620000,,,52.320000,86.120620,6989.844711,,,1.030043,38.090000,3.043000,0.100000,-0.017845,-0.121173,48.229929,99871.496449,12.030000,33.175511,38.631055,1.068000,0.511000,0.859039,38.850000,0.000000,313.470000,0.565022,-0.537000,0.335884,-0.342140
4.6,4.500241,50.093827,214.689000,,,53.760000,85.743600,7196.145536,,,1.040046,38.077445,1.086000,0.074664,0.005207,-0.112245,48.200000,99870.000000,12.030000,33.180000,40.104337,0.947000,0.634408,0.868041,38.850000,0.000000,315.679680,0.570023,-1.371000,0.231009,-0.384000
4.7,4.500263,50.093828,214.671000,,,54.670000,85.969360,7378.618905,,,1.050049,38.060000,1.399000,-0.001000,0.020949,0.163265,48.189917,99869.495849,12.030000,33.181008,41.605745,1.137000,1.649000,0.877044,38.850504,0.000000,318.750000,0.575025,1.910000,0.234552,-0.330000
4.8,4.500263,50.093828,214.671000,,,54.670000,85.969360,7520.240810,,,1.060052,38.051626,-0.003000,0.043000,0.052612,0.139031,48.169911,99868.495549,12.030000,33.183009,43.129286,1.004000,1.402049,0.886047,38.851504,0.000000,321.199450,0.580026,0.791717,0.424461,-0.318232
4.9,4.500307,50.093831,214.743000,,,57.070000,86.053430,7672.240060,,,1.070055,38.040000,0.833000,0.014910,0.094578,0.094388,48.149905,99867.495249,12.030000,33.185010,44.684744,1.029733,1.803433,0.895050,38.852505,0.000000,324.600000,0.585028,0.594743,0.427296,-0.372000
5,4.500330,50.093831,214.760000,,,58.260000,86.634220,7834.891973,,,1.080058,38.030000,-0.334223,-0.037000,0.052135,0.219388,48.129899,99866.494948,12.030000,33.187010,46.281816,1.114000,1.117963,0.904052,38.853505,0.000000,327.978829,0.590029,-0.288197,0.351474,-0.273000
5.1,4.500353,50.093832,214.817000,,,59.510000,86.714750,8020.891973,,,1.090061,38.040000,-2.634000,-0.015000,-0.006506,0.056122,48.109893,99865.494648,12.030000,33.189011,47.920245,1.038000,0.063000,0.913055,38.854505,0.000000,332.660000,0.595031,-0.460000,0.396117,-0.341000
5.2,4.500377,50.093833,214.921000,,,60.780000,86.695140,8205.555889,,,1.100064,38.020000,-1.452152,-0.044000,-0.009461,-0.248724,48.089887,99864.494348,12.030000,33.191011,49.592232,1.084000,0.485341,0.922058,38.855506,0.000000,336.490035,0.600032,-0.048323,0.437925,-0.337891
5.3,4.500402,50.093834,214.991000,,,62.580000,86.568550,8401.074269,,,1.110067,38.040000,-0.291923,-0.017591,0.013092,-0.228316,48.069881,99863.494048,12.030000,33.193012,51.305314,1.001000,1.806000,0.931060,38.856506,0.000000,341.790000,0.605034,-0.303000,0.313209,-0.428000
5.4,4.500427,50.093835,215.026000,,,63.890000,86.714890,8589.286572,,,1.120000,38.050000,1.488000,0.000114,0.020573,0.093112,48.049875,99862.493748,12.030000,33.195013,53.056440,1.035000,0.888000,0.940000,38.857506,0.000000,345.315563,0.610000,-0.334055,0.334467,-0.356000
5.5,4.500427,50.093835,215.026000,,,63.890000,86.714890,8806.018005,,,1.112949,38.020000,1.281408,0.010226,0.177146,0.177296,48.029869,99861.493448,12.030000,33.197013,54.839145,1.033000,0.850482,0.935971,38.858507,0.000000,350.190000,0.605971,-0.395000,0.544218,-0.387434
5.6,4.500480,50.093838,215.091000,,,67.300000,86.828910,9021.060765,,,1.105947,38.049415,1.108710,0.002480,0.523792,-0.036990,48.000000,99860.000000,12.030000,33.200000,56.662500,0.974000,1.127000,0.931970,38.860000,0.000000,353.202906,0.601970,-0.238000,0.403912,-0.449000
5.7,4.500507,50.093838,215.174000,,,68.160000,88.734920,9260.163541,,,1.098945,38.090000,-4.737812,-0.119879,0.659162,-0.211735,47.989857,99859.492848,12.030000,33.200000,58.535928,1.037000,1.014000,0.927968,38.859493,0.000000,357.360000,0.597968,1.416000,0.326672,-0.369663
5.8,4.500533,50.093837,215.182000,,,68.730000,91.047930,9591.662162,,,1.091943,38.102615,-15.605975,-0.375525,0.393930,-0.394133,47.969851,99858.492548,12.030000,33.200000,60.442788,0.920000,5.333000,0.923967,38.858493,0.000000,360.417035,0.593967,0.731000,0.476899,-0.313941
5.9,4.500562,50.093836,215.267000,,,71.340000,92.305440,10158.000000,,,1.084940,38.120000,-40.087000,-0.539467,-0.057513,-0.221939,47.949845,99857.492248,12.030000,33.200000,62.389962,0.984205,-2.285000,0.919966,38.857492,0.000000,364.630000,0.589966,1.349280,0.479734,-0.306000
6,4.500590,50.093836,215.162000,,,72.280000,92.072790,10015.000000,,,1.077938,38.141036,-22.795237,-0.556000,-0.404446,0.218112,47.929839,99856.491948,12.030000,33.200000,64.383997,1.053000,0.527000,0.915965,38.856492,0.000000,367.049085,0.585965,1.292000,0.491071,-0.456422
6.1,4.500619,50.093836,215.162000,,,74.560000,90.650540,10100.048048,,,1.070936,38.170000,5.449256,-0.244975,-0.485719,0.215561,47.909833,99855.491647,12.030000,33.200000,66.426231,1.021483,-0.904382,0.911964,38.855492,0.000000,370.380000,0.581964,0.191000,0.330215,-0.467000
6.2,4.500649,50.093836,215.166000,,,75.990000,89.291110,10408.909977,,,1.063934,38.190000,22.616093,0.196477,-0.542317,-0.040816,47.889827,99854.491347,12.030000,33.200000,68.509540,0.781000,-3.566000,0.907962,38.854491,0.000000,372.780900,0.577962,1.150295,0.109127,-0.353848
6.3,4.500678,50.093837,215.204000,,,75.510000,88.211670,10890.219805,,,1.056932,38.180000,65.023000,0.622000,-0.528414,-0.118622,47.869821,99853.491047,12.030000,33.200000,70.612937,0.841781,9.454000,0.903961,38.853491,0.000000,376.080000,0.573961,3.018000,0.117630,-0.454000
6.4,4.500708,50.093839,215.192000,,,76.580000,85.938380,11339.000000,,,1.050000,38.192645,46.097300,0.503000,-0.526554,-0.017857,47.849815,99852.490747,12.030000,33.200000,72.727794,0.960000,6.248896,0.900000,38.852491,0.000000,379.848210,0.570000,-0.217000,0.319586,-0.127000
6.5,4.500708,50.093839,215.192000,,,76.580000,85.938380,11402.000000,,,1.050000,38.210000,16.598700,0.644080,-0.470954,0.081633,47.829809,99851.490447,12.030000,33.200000,74.860250,0.917160,1.157500,0.900000,38.851490,0.000000,385.020000,0.570000,1.133900,0.535006,-0.412160
6.6,4.500769,50.093844,215.179000,,,80.020000,82.652130,11025.000000,,,1.050000,38.226868,-7.045000,0.784000,0.007200,0.012755,47.800000,99850.000000,12.030000,33.200000,77.037572,1.014000,-1.136000,0.900000,38.850000,0.000000,390.185958,0.570000,0.923950,0.338719,-0.415543
6.7,4.500801,50.093846,215.205000,,,80.690000,84.324630,11106.492873,,,1.050000,38.250000,-5.675000,0.455839,0.329169,0.010204,47.789796,99849.489796,12.030000,33.200000,79.259221,0.890000,2.039562,0.900000,38.849490,0.000000,397.270000,0.570000,3.280000,0.089286,-0.439000
6.8,4.500801,50.093846,215.205000,,,80.690000,84.324630,11371.957239,,,1.050000,38.262666,-18.227885,0.008323,0.687877,0.169643,47.769788,99848.489396,12.030000,33.200000,81.500936,0.946000,8.155000,0.900000,38.848489,0.000000,401.817214,0.570000,0.594000,0.284864,-0.175000
6.9,4.500832,50.093847,215.189000,,,81.280000,85.950580,11771.540885,,,1.050000,38.280000,-56.079000,-0.785000,1.027121,0.139031,47.749780,99847.488996,12.030000,33.200000,83.759978,0.613000,3.458309,0.900000,38.847489,0.000000,408.040000,0.570000,2.951000,0.500992,-0.469507
7,4.500898,50.093848,215.268000,,,84.120000,89.553350,12144.000000,,,1.050000,38.288450,-40.860813,-0.711000,0.605556,0.008929,47.729772,99846.488595,12.030000,33.200000,86.053518,0.833899,-4.366000,0.900000,38.846489,0.000000,411.800250,0.570000,0.736000,0.435091,-0.575000
7.1,4.500931,50.093847,215.269000,,,84.920000,90.771030,11944.744186,,,1.050000,38.300000,-16.709773,-0.845000,-0.025707,-0.178571,47.709764,99845.488195,12.030000,33.200000,88.401530,1.277000,2.530000,0.900000,38.845488,0.000000,416.940000,0.570000,0.722000,0.475482,-0.386000
7.2,4.500965,50.093847,215.344000,,,86.620000,90.544060,11792.000000,,,1.050000,38.312681,13.882000,-0.609139,-0.549272,-0.358418,47.689756,99844.487795,12.030000,33.200000,90.788633,1.071859,0.285733,0.900000,38.844488,0.000000,419.801756,0.570000,2.062000,0.458475,-0.786000
# Lap 0: 00:00:07.297
7.2968,4.501000,50.093847,215.343000,,,89.130000,89.559800,12008.236486,,,1.050000,38.322940,11.844000,-0.050159,-0.839028,-0.375000,47.670388,99843.519408,12.030000,33.200000,93.145315,0.669429,-3.555947,0.900000,38.843519,0.000000,422.967915,0.570000,2.062000,0.320295,-0.786000
7.3968,4.501034,50.093849,215.286000,,,88.880000,86.738370,12370.985746,,,1.050000,38.340000,40.251578,0.486694,-1.049360,-0.076531,47.650380,99842.519008,12.030000,33.200000,95.609884,0.694306,-5.696000,0.900000,38.842519,0.000000,425.480000,0.570000,0.574000,-0.094955,-0.740000
7.4968,4.501068,50.093851,215.270000,,,88.460000,84.786690,12748.048012,,,1.050000,38.340000,65.110000,0.856000,-0.929428,-0.354592,47.630372,99841.518607,12.030000,33.200000,98.074301,0.704000,6.900000,0.900000,38.841519,0.000000,428.853867,0.570000,1.691000,-0.048186,-0.406936
7.5968,4.501102,50.093855,215.198000,,,88.540000,82.490710,12896.000000,,,1.050000,38.340000,34.649917,0.730000,-0.813689,-0.132653,47.610364,99840.518207,12.030000,33.200000,100.535309,1.004380,2.840532,0.900000,38.840518,0.000000,431.360000,0.570000,-1.735000,0.120465,-0.324000
7.6968,4.501136,50.093858,215.058000,,,89.310000,81.071340,12645.864966,,,1.050000,38.362971,11.481678,0.974000,-0.313556,0.255102,47.600000,99840.000000,12.030000,33.200000,103.005508,1.069000,0.511005,0.900000,38.840000,0.000000,434.978009,0.570000,1.535000,0.109127,-0.373000
7.7968,4.501136,50.093858,215.058000,,,89.310000,81.071340,12459.000000,,,1.050000,38.380000,-10.141972,0.592717,0.676863,0.244898,47.555527,99837.035111,12.030000,33.204447,105.483205,0.914000,-0.252000,0.900000,38.838518,0.000000,437.660000,0.570000,-0.425000,-0.029762,-0.268908
7.8968,4.501205,50.093863,214.946000,,,89.100000,84.135290,12801.642643,,,1.050000,38.402980,-31.483165,0.066051,1.117130,0.443878,47.525518,99835.034510,12.030000,33.207448,107.961481,1.128000,10.636000,0.900000,38.837517,0.000000,441.876830,0.570000,1.549555,-0.014172,-0.233328
7.9968,4.501240,50.093864,215.014000,,,89.210000,86.140160,13168.543886,,,1.050000,38.420000,-56.452904,-0.583693,0.829507,0.303571,47.495509,99833.033910,12.030000,33.210449,110.442275,0.890000,0.878890,0.900000,38.836517,0.000000,445.000000,0.570000,2.994000,0.184240,-0.102734
8.0968,4.501275,50.093865,215.008000,,,90.400000,87.894420,13308.000000,,,1.050000,38.410000,-70.375000,-0.911000,1.074314,-0.048469,47.465500,99831.033310,12.030000,33.213450,112.936953,1.037000,-6.828000,0.900000,38.835517,0.000000,449.287914,0.570000,2.320317,0.226757,-0.051000
8.1968,4.501311,50.093863,215.089000,,,90.810000,90.944610,13408.000000,,,1.050000,38.460000,-30.114902,-0.809000,1.088034,-0.140306,47.435491,99829.032710,12.030000,33.216451,115.452960,0.937000,-0.254351,0.900000,38.834516,0.000000,452.460000,0.570000,-1.106000,0.273526,-0.345000
8.2968,4.501347,50.093862,215.051000,,,92.330000,92.738260,13066.903229,,,1.050000,38.477259,-4.742878,-1.125191,0.196596,0.025510,47.405482,99827.032110,12.030000,33.219452,118.000940,1.089000,3.466000,0.900000,38.833516,0.000000,456.210875,0.570000,0.515000,0.433673,-0.310244
8.3968,4.501384,50.093861,215.109000,,,93.870000,91.805430,12868.000000,,,1.050000,38.490000,14.055280,-1.235000,-0.293276,-0.020408,47.375473,99825.031509,12.030000,33.222453,120.589004,0.973000,-1.143712,0.900000,38.832516,0.000000,458.980000,0.570000,1.571000,0.619331,-0.397000
8.4968,4.501423,50.093860,215.104000,,,96.700000,91.475180,13167.096774,,,1.050000,38.507265,33.367248,0.027232,-0.446824,-0.091837,47.345464,99823.030909,12.030000,33.225454,123.231174,0.958000,-5.907000,0.900000,38.831515,0.000000,461.184165,0.570000,-1.178000,0.483277,-0.255960
8.5968,4.501460,50.093861,215.121000,,,97.280000,89.937370,13541.101275,,,1.050000,38.520000,59.101082,0.588524,-0.370037,-0.186224,47.315455,99821.030309,12.030000,33.228455,125.916102,1.037000,2.206569,0.900000,38.830515,0.000000,462.810000,0.570000,2.411000,0.082200,-0.092000
8.6968,4.501460,50.093861,215.121000,,,97.280000,89.937370,13776.000000,,,1.050000,38.548789,73.328000,0.817999,-1.196226,-0.413265,47.300000,99820.000000,12.030000,33.230000,128.612632,0.982000,6.663000,0.900000,38.830000,0.000000,465.809855,0.570000,-0.147315,-0.184240,-0.078871
8.7968,4.501533,50.093865,215.060000,,,95.980000,84.966060,13529.928732,,,1.050000,38.570000,20.338507,0.857757,-1.639744,-0.214286,47.270291,99817.029109,12.030000,33.230000,131.300102,1.069000,2.868780,0.900000,38.830000,0.000000,468.020000,0.570000,0.949460,-0.075113,-0.130000
8.8968,4.501570,50.093869,214.976000,,,96.750000,83.030580,13294.030758,,,1.050000,38.598800,-8.109239,0.966000,-0.430645,0.316327,47.250285,99815.028509,12.030000,33.230000,133.980984,0.973117,-0.809000,0.900000,38.830000,0.000000,470.900000,0.570000,2.084669,0.147392,-0.127000
